customer_id,plan_type,device_brand,avg_data_usage_gb,pct_video_usage,avg_call_duration,sms_freq,monthly_spend,topup_freq,travel_score,complaint_count,target_offer,target_offer_encoded,customer_id_encoded,plan_type_encoded,device_brand_encoded,plan_type_Postpaid,plan_type_Prepaid,device_brand_Apple,device_brand_Huawei,device_brand_Oppo,device_brand_Realme,device_brand_Samsung,device_brand_Vivo,device_brand_Xiaomi
C00001,1,3,0.03770197486535008,0.8041460263450491,0.2871037463976946,0.3333333333333333,0.15178571428571427,0.3333333333333333,0.33008091372259735,0.0,General Offer,3,0,1,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
C00002,0,5,0.027186458066170812,0.1076863752936521,0.3440201729106629,0.18518518518518517,0.13616071428571427,0.25,0.13120242092416673,0.0,General Offer,3,1,0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
C00003,0,6,0.08232880225698896,0.3138939838062413,0.16570605187319887,0.3333333333333333,0.19419642857142858,0.5833333333333333,0.46934953166236726,0.0,General Offer,3,2,0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C00004,1,0,0.13567581431136186,0.4201575981035561,0.25036023054755047,0.14814814814814814,0.14508928571428573,0.3333333333333333,0.35092745989456475,0.0,General Offer,3,3,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
C00005,1,1,0.048217491664529356,0.2516379006484085,0.3962536023054755,0.6296296296296295,0.15625,0.41666666666666663,0.5690785066311955,0.0,General Offer,3,4,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C00006,1,2,0.08386765837394203,0.4788727460207512,0.23487031700288186,0.4814814814814814,0.11607142857142859,0.25,0.43310140150634535,0.0,Top-up Promo,7,5,1,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C00007,1,2,0.25237240318030263,0.3758819893898382,0.4020172910662824,0.25925925925925924,0.3080357142857143,0.41666666666666663,0.358034869417353,0.2,Device Upgrade Offer,1,6,1,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C00008,0,2,0.35598871505514235,0.4659773679501838,0.2777377521613833,0.37037037037037035,0.3973214285714286,0.3333333333333333,0.33458857969121936,0.4,Device Upgrade Offer,1,7,0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C00009,0,3,0.03129007437804565,0.2221783283403327,0.38616714697406346,0.5925925925925926,0.15625,0.16666666666666666,0.3138520908907314,0.0,General Offer,3,8,0,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
C00010,0,1,0.09310079507566042,0.196773660189904,0.4809077809798271,0.25925925925925924,0.18080357142857142,0.08333333333333333,0.3985664299440376,0.0,General Offer,3,9,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C00011,1,4,0.3503462426263144,0.3942790927449057,0.46685878962536026,0.4444444444444444,0.35937500000000006,0.16666666666666666,0.324464197093889,0.0,Device Upgrade Offer,1,10,1,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C00012,0,1,0.2710951526032316,0.5458178895784999,0.4351585014409222,0.2962962962962963,0.4084821428571429,0.3333333333333333,0.4206208965604856,0.0,Data Booster,0,11,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C00013,0,4,0.25237240318030263,0.7686890921458518,0.5987031700288185,0.25925925925925924,0.27455357142857145,0.3333333333333333,0.48357573325027453,0.0,Data Booster,0,12,0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C00014,1,2,0.11618363682995637,0.0345445424505942,0.025576368876080693,0.5555555555555556,0.23214285714285715,0.5833333333333333,0.39204066976156704,0.0,General Offer,3,13,1,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C00015,1,5,0.1636317004360092,0.3605905304263257,0.35446685878962536,0.4814814814814814,0.2790178571428572,0.25,0.40223806549885155,0.0,Device Upgrade Offer,1,14,1,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
C00016,1,5,0.22056937676327262,0.4885739641580522,0.5,0.25925925925925924,0.3102678571428572,0.41666666666666663,0.49998686137477705,0.0,Device Upgrade Offer,1,15,1,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
C00017,1,4,0.4462682739163888,0.4730515850509491,0.36059077809798273,0.40740740740740744,0.5022321428571429,0.25,0.3378666353544887,0.0,Device Upgrade Offer,1,16,1,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C00018,1,2,0.07258271351628622,0.1558238936582457,0.6711095100864554,0.37037037037037035,0.20089285714285715,0.25,0.1695133323552362,0.2,General Offer,3,17,1,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C00019,1,1,0.13567581431136186,0.2546241053197001,0.305835734870317,0.5185185185185185,0.2142857142857143,0.25,0.36946974854277814,0.0,General Offer,3,18,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C00020,1,5,0.11541420877147986,0.3972369868853305,0.23811239193083575,0.40740740740740744,0.25000000000000006,0.08333333333333333,0.2135701583202975,0.0,General Offer,3,19,1,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
C00021,0,4,0.10387278789433187,0.9366801131000492,0.49819884726224783,0.3333333333333333,0.1830357142857143,0.25,0.741362611323356,0.0,General Offer,3,20,0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
C00022,1,1,0.20748909976917151,0.5886210603569009,0.22046109510086453,0.4814814814814814,0.3236607142857143,0.16666666666666666,0.259252972219872,0.0,Data Booster,0,21,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C00023,1,2,0.20518081559374193,0.4700858558158094,0.6030259365994236,0.1111111111111111,0.3080357142857143,0.16666666666666666,0.5716098749764028,0.0,Device Upgrade Offer,1,22,1,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C00024,1,6,0.13695819440882276,0.0,0.3634726224783862,0.37037037037037035,0.23660714285714288,0.25,0.12395313333313238,0.2,General Offer,3,23,1,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C00025,1,2,0.3218774044626827,0.1365121182370052,0.6152737752161384,0.25925925925925924,0.31250000000000006,0.25,0.2238856451659723,0.4,Device Upgrade Offer,1,24,1,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C00026,0,3,0.2195434726853039,0.1542240453190257,0.5817723342939481,0.37037037037037035,0.32142857142857145,0.41666666666666663,0.32836025081012665,0.0,General Offer,3,25,0,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
C00027,1,2,0.26596563221338804,0.4716028472556572,0.3818443804034582,0.37037037037037035,0.3102678571428572,0.08333333333333333,0.3646233452891119,0.0,Device Upgrade Offer,1,26,1,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C00028,1,1,0.07335214157476276,0.3727583387278639,0.23739193083573484,0.4814814814814814,0.1875,0.25,0.05646714947770914,0.0,General Offer,3,27,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C00029,1,1,0.1410618107206976,0.2729605608314636,0.6729106628242075,0.3333333333333333,0.2633928571428572,0.3333333333333333,0.5634931637520654,0.0,General Offer,3,28,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C00030,1,0,0.25904077968709927,0.4668892929323563,0.08681556195965417,0.37037037037037035,0.3191964285714286,0.16666666666666666,0.20235977586543144,0.0,General Offer,3,29,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
C00031,0,0,0.04975634778148243,0.0978574978174671,0.2986311239193084,0.4444444444444444,0.08258928571428573,0.16666666666666666,0.5163421935167095,0.2,Retention Offer,4,30,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
C00032,1,1,0.21107976404206202,0.2370370072534525,0.5162103746397695,0.37037037037037035,0.31250000000000006,0.41666666666666663,0.20039639995782066,0.0,General Offer,3,31,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C00033,1,1,0.04873044370351372,0.3868224106587541,0.09582132564841497,0.2222222222222222,0.12723214285714285,0.3333333333333333,0.4234633181770847,0.0,Top-up Promo,7,32,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C00034,0,6,0.22569889715311614,0.7738433522001377,0.13976945244956773,0.6296296296296295,0.3660714285714286,0.08333333333333333,0.22299405582379314,0.2,Data Booster,0,33,0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C00035,0,6,0.08874070274429341,0.5791289611290226,0.3270893371757925,0.25925925925925924,0.12053571428571429,0.16666666666666666,0.2927172606427377,0.0,General Offer,3,34,0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C00036,0,2,0.1759425493716337,0.4862075517962376,0.40994236311239196,0.6296296296296295,0.2790178571428572,0.3333333333333333,0.1683419254763687,0.0,Device Upgrade Offer,1,35,0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C00037,1,3,0.08130289817902026,0.3198534568350979,0.01981268011527378,0.2962962962962963,0.171875,0.08333333333333333,0.01827688501787493,0.2,General Offer,3,36,1,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
C00038,1,5,0.05591177224929468,0.3963668496981786,0.5637608069164265,0.4444444444444444,0.15178571428571427,0.16666666666666666,0.2676443643056489,0.0,General Offer,3,37,1,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
C00039,0,3,0.30341113105924594,0.6432140574524546,0.332492795389049,0.4814814814814814,0.4129464285714286,0.08333333333333333,0.1075100385180894,0.0,Data Booster,0,38,0,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
C00040,1,6,0.04026673506027186,0.7651485039813233,0.48739193083573484,0.4444444444444444,0.15401785714285715,0.16666666666666666,0.17285384295852366,0.2,General Offer,3,39,1,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C00041,1,2,0.06129776865863041,0.3520079992266241,0.2255043227665706,0.6666666666666666,0.16294642857142858,0.16666666666666666,0.369260337179641,0.0,General Offer,3,40,1,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
